Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
,SKU51,25.83470934409809,60.349453515098176,148.24059321763167,9839.326980182475,Male,101.191069402123,4.579166966617176,52.51494397056178,1.0492943754756532,Carrier A,4.704262955049873,Supplier 5,Bangalore,17.808299245588632,659.4762011658314,28.59768560127012,15.785457619971012,Pending,1.8525730030977103,Road,Route A,682.447455572059
,SKU92,46.58232088167284,43.57791360377016,269.51836655498886,2330.9051711640827,Male,90.58496503757522,23.971076431146056,9.62239818848496,8.13259402555203,Carrier B,4.181141435024388,Supplier 2,Mumbai,4.542222917241741,679.8543279193392,29.524704457056803,65.88803080585444,Pass,0.3209369260780527,Rail,Route B,227.6375787770894
skincare,SKU14,102.37477458742292,26.803947717155765,555.600066425181,8848.978732603444,Non-binary,54.19490753946624,29.348583687675934,79.95618652049517,4.819294039589144,Carrier B,2.1093709187246423,Supplier 1,,24.89671722472311,563.073864942403,13.6410011797786,4.293649466885349,Pending,0.0408810433332053,Air,Route B,931.131554658644
cosmetics,SKU71,5.09789861367465,14.66975093861053,633.8343191694008,8025.535759227295,Female,77.60107401974174,0.924028018148813,26.114804654833936,6.074160545834453,Carrier A,,Supplier 2,Bangalore,1.9253808122518772,261.4468137231016,9.848635179860327,31.698196775702257,Pending,2.1176172172332355,Road,Route A,401.6489560312008
skincare,SKU60,16.246353866920025,15.219926735638962,377.5251930423857,8773.688015808764,Female,42.41971874509577,27.366313795458144,,7.929213534408735,Carrier C,4.414510467073791,Supplier 4,Mumbai,28.93875801663848,918.5078283051214,23.28571059810856,88.28813847115985,,2.8191142225490653,Rail,Route A,
skincare,SKU20,97.7940823619535,20.0879520486462,331.20847915384303,8172.471771379374,Unknown,28.21212615478964,11.74023503407574,,5.798896227376372,Carrier A,8.766694845862277,Supplier 1,,28.152483129694915,310.1157962892916,5.762400726169509,65.8910120064377,Pass,4.229942008998189,Air,Route B,500.9448923149698
skincare,SKU82,17.024458510026157,12.270447811663695,310.7440743360692,2876.280845189488,Unknown,,19.17943339887857,,1.2193808335723275,Carrier A,4.842103050801401,Supplier 2,,5.298922467969117,960.3743524841924,25.74371381734095,5.713724319845088,Pending,4.083905048924112,,Route C,583.5852596437668
skincare,SKU86,,17.866160185644915,225.73261561689375,1230.226678297207,Unknown,,,19.670411223054035,5.929659248892717,Carrier B,1.6852810409355554,Supplier 1,Mumbai,3.742214946485327,544.9765525915104,17.49097291107817,77.35233626001855,Pass,2.074741615905573,Rail,Route A,274.4825636090636
haircare,SKU74,4.665536207923658,62.47344552429023,905.3912180125328,5594.505133355207,Female,41.45867870565337,6.437482398122488,1.6623506882429422,5.242415977882095,,5.274272786748753,Supplier 4,Delhi,1.1552824646525317,946.5901757069188,9.156386200117652,77.57307257202194,Fail,0.3622879312032232,,Route A,341.03496282989886
haircare,SKU74,3.257960182718961,64.15240892152192,897.197520003856,5929.8493219515485,Female,41.31401255033745,5.479643584322311,-0.0734675580974926,5.224585699062035,Carrier A,5.2673012980460365,Supplier 4,Delhi,0.9800210178026292,906.060273416258,8.547685555970299,78.00687149073093,Fail,0.5133086172914891,Rail,Route A,336.50579614458854
haircare,SKU87,77.02727208790267,21.558180608397294,64.49969911616539,,Male,3.97118583616526,7.36217683260066,56.26915528595663,,Carrier A,6.37529076356876,Supplier 3,,26.887211624567687,525.1569367229287,16.513902118879756,28.987445176793948,Fail,3.8026997637849633,Sea,Route B,881.3263987334655
haircare,SKU99,69.22263022876697,17.263141992715397,632.5473671854394,9269.740563400686,Unknown,57.275448881931965,8.453445924020526,58.68408992583305,5.685261318455542,Carrier B,,Supplier 2,Chennai,30.205090793697337,938.3844758335842,1.8580193944776675,39.640061486440125,,0.4665142407584444,Rail,Route B,220.33579530270697
cosmetics,SKU23,5.002480471466663,29.60419685920915,373.23026585317376,8618.934894105074,Unknown,83.23300772356257,5.34771570882699,31.785712382861405,6.938206025352501,,3.071820473359832,Supplier 5,,10.896526107467508,559.2609885403518,29.088436647175172,99.33887773976328,Pending,,Rail,Route A,204.3535129501913
,SKU2,12.73548926475785,34.117507038845375,-11.24156571389604,9604.095908723011,Unknown,,9.42991352326499,,,Carrier B,7.846459232879601,Supplier 1,Mumbai,12.334863880204262,960.114432826478,26.036559213875748,,Pending,4.470708413965789,,Route C,137.33355341206783
